"","utm_x","utm_y","poverty","nightlight","water_way","elev","poverty2","soil","HK_positive","HK_examined","TT_positive","TT_examined","Asc_positive","Asc_examined","STH_positive","STH_examined","HK.prev","ASC.prev","TT.prev","prob.none","prob.atleast.one"
"2247",3722909.46076682,-1592224.78846047,0.697490505623746,-0.00692830001935363,4.96508741378784,1165.74829101562,88.0470629520085,8.73015271895166,0,29,0,29,0,29,0,29,0,0,0,1,0
"2248",3886254.00426284,-1767289.45962033,0.608950583254034,0.496273308992386,2.16272664070129,751.583862304688,81.9705341600734,4.072398,1,30,0,30,0,30,1,30,3.33333333333333,0,0,-2.33333333333333,3.33333333333333
"2249",3784243.51683156,-1277986.79380498,0.267411381917124,3.21531367301941,2.85328674316406,1312.72143554688,57.4187504876736,11.7909066114816,0,29,0,29,0,29,0,29,0,0,0,1,0
"2250",3754837.27108802,-1575064.2939095,0.187805259255078,16.1880569458008,1.85866272449493,1082.64416503906,40.1009946506747,3.82614223936031,0,28,0,28,0,28,0,28,0,0,0,1,0
"2251",3772117.69620648,-1498028.09323392,0.433640852513036,0.0196607429534197,2.28907632827759,1278.68286132812,74.5899688683025,12.0215083643397,0,29,0,29,3,29,3,29,0,10.3448275862069,0,-9.3448275862069,10.3448275862069
"2252",3906052.18683237,-1784401.77778436,0.130821777234042,9.96134853363037,1.82087445259094,1146.71447753906,29.593916445007,11.126009188516,0,30,1,30,1,30,2,30,0,3.33333333333333,3.33333333333333,5.44444444444445,-4.44444444444445
"2253",3864156.98515283,-1674985.21843483,0.64588536921959,0.00556548126041889,0.507827401161194,962.265808105469,84.9851585864151,9.84404444318072,0,30,0,30,1,30,1,30,0,3.33333333333333,0,-2.33333333333333,3.33333333333333
"2254",3761548.27790998,-1574614.17332909,0.0403752375923405,12.2423677444458,1.04463839530945,1081.02758789062,19.6196485498587,3.1960698862113,6,30,1,30,2,30,8,30,20,6.66666666666667,3.33333333333333,-251.222222222222,252.222222222222
"2255",3875063.94640932,-1694816.88806046,0.695463218679517,0.010418213903904,4.04500770568848,717.576904296875,89.0915180482763,9.42533127153175,0,29,0,29,3,29,3,29,0,10.3448275862069,0,-9.3448275862069,10.3448275862069
"2256",3898554.51077246,-1678177.74154904,0.725121886187722,0.0217932742089033,7.08251571655273,669.002807617188,89.6527611895576,12.5531927056084,0,29,0,29,0,29,0,29,0,0,0,1,0
"2257",3790877.17887132,-1507700.47435452,0.483682670477844,0.00896257255226374,1.47461330890656,1017.54559326172,79.3968253571649,5.0378410747262,3,30,1,30,3,30,7,30,10,10,3.33333333333333,-189,190
"2258",3789574.47366226,-1274703.40630577,0.52613395604627,0.0496884696185589,7.27368545532227,1388.30151367188,80.7893905082339,14.2266684105965,0,28,0,28,0,28,0,28,0,0,0,1,0
"2259",3749168.00319285,-1290070.63375929,0.708779132873216,0.0275977682322264,0.281648576259613,1258.82873535156,89.4017357364315,11.5227347706894,4,30,0,30,4,30,8,30,13.3333333333333,13.3333333333333,0,152.111111111111,-151.111111111111
"2260",3786342.23098385,-1482546.53513225,0.524532776816955,0.0276953224092722,3.67813992500305,970.715576171875,79.6638076182311,17.7209771068721,0,30,0,30,0,30,0,30,0,0,0,1,0
"2261",3754711.75836215,-1575042.8621535,0.187805259255078,16.1880569458008,1.88485455513,1084.78112792969,40.1009946506747,3.82614223936031,0,30,0,30,2,30,2,30,0,6.66666666666667,0,-5.66666666666667,6.66666666666667
"2262",3719656.83103686,-1255347.09157993,0.693558034738456,0.0327810607850552,4.49032258987427,1167.35119628906,90.0786239616372,7.35494828672385,0,30,0,30,0,30,0,30,0,0,0,1,0
"2263",3861988.83769455,-1647902.39121088,0.672841713121885,0.0521507747471333,4.05882596969604,998.686584472656,89.3356877095228,10.7842000271877,0,30,0,30,0,30,0,30,0,0,0,1,0
"2264",3760132.32738294,-1567554.68769417,0.0410368084074297,12.3518114089966,0.819938600063324,1067.77099609375,18.1039954323051,3.42306436962284,2,30,0,30,4,30,6,30,6.66666666666667,13.3333333333333,0,69.8888888888889,-68.8888888888889
"2265",3772796.09944727,-1588971.16528408,0.598645165165939,0.00506805209442973,5.16646909713745,1150.44299316406,81.813665807724,6.20286893027063,1,30,0,30,2,30,3,30,3.33333333333333,6.66666666666667,0,13.2222222222222,-12.2222222222222
"2266",3901051.93794492,-1781906.95169057,0.0403779494866624,11.8411912918091,0.98304694890976,1148.10144042969,18.6278182096062,10.8177627727508,0,30,0,30,1,30,1,30,0,3.33333333333333,0,-2.33333333333333,3.33333333333333
"2267",3893088.5946439,-1692267.12415913,0.705951773688038,0.0928281918168068,1.10749888420105,606.0546875,87.9891512620588,5.71735440922327,1,30,0,30,0,30,1,30,3.33333333333333,0,0,-2.33333333333333,3.33333333333333
"2268",3845049.86841617,-1630625.97537132,0.608841975706158,-0.0197591986507177,2.06154727935791,863.97021484375,83.8573942597337,4.91294938484918,0,30,0,30,0,30,0,30,0,0,0,1,0
