"","ï..Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"1","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","15 Povo Kidenuco",NA,"15.17431","-8.1357499999999998","3",NA,NA,"2014","5","23","24","0",0,"0.0","0.0","24","0",0,"0.0","0.0","24","0",0,"0.0","0.0",NA,NA,0,0,1,0,20500,"","AAGO0026502205"
"2","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","19 Calumbro",NA,"15.85456","-8.1662300000000005","3",NA,NA,"2014","5","23","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0",NA,NA,0,0,1,0,20504,"","AAGO0026502205"
"3","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","24 Quilamba",NA,"15.88025","-6.8350200000000001","3",NA,NA,"2014","5","23","30","1",0.033333333,"3.3333333330000001","0.0","30","14",0.466666667,"0.0","14.28571429","30","2",0.066666667,"0.0","100.0","30","0",0,0.489447939,1,0,20505,"","AAGO0026502205"
"4","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","26 Zambi",NA,"15.17033","-7.2861500000000001","3",NA,NA,"2014","5","23","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0",NA,NA,0,0,1,0,20507,"","AAGO0026502205"
"5","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","30 Povo Luanda",NA,"15.77557","-7.9242999999999997","3",NA,NA,"2014","5","23","24","0",0,"0.0","0.0","24","0",0,"0.0","0.0","24","0",0,"0.0","0.0",NA,NA,0,0,1,0,20508,"","AAGO0026502205"
"6","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","32 Senga",NA,"14.99531","-7.0481499999999997","3",NA,NA,"2014","5","23","30","0",0,"0.0","0.0","30","27",0.9,"0.0","0.0","30","5",0.166666667,"0.0","100.0","30","0",0,0.864779874,1,0,20509,"","AAGO0026502205"
"7","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","36 Katul",NA,"15.27819","-7.5677000000000003","3",NA,NA,"2014","5","23","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0",NA,NA,0,0,1,0,20510,"","AAGO0026502205"
"8","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Uige","2205","Uige","2205","64 Escola b Quinguangua",NA,"14.7722","-7.15951","3",NA,NA,"2014","5","23","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0","30","0",0,"0.0","0.0",NA,NA,0,0,1,0,20518,"","AAGO0026502205"
"9","AFRO","AFRO","Middle Africa","Angola","AGO","AO","UÃ­ge","265","Milunga","2199","Milunga","2199","726",NA,"16.20152","-6.5101699999999996","3",NA,NA,"2014","5","23","30","5",0.166666667,"16.666666670000001","0.0","30","3",0.1,"0.0","0.0","30","0",0,"0.0","0.0","27","0",0,0.235849057,1,0,20520,"","AAGO0026502199"
"10","AFRO","AFRO","Middle Africa","Angola","AGO","AO","Uige","265","Bungo","2193","Bungo","2193","Banza Lucunga",NA,"15.18581","-7.39717","3",NA,NA,"2014","5","23","30","2",0.066666667,"6.6666666670000003","0.0","30","16",0.533333333,"0.0","0.0","30","6",0.2,"0.0","100.0","30","0",0,0.614675052,1,0,20528,"","AAGO0026502193"
