,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
1,Angola,AGO,AO,Uige,2205,15.17431,-8.13575,2014,24,0,0,24,0,0,24,0,0,NA,NA,0,0
2,Angola,AGO,AO,Uige,2205,15.85456,-8.16623,2014,30,0,0,30,0,0,30,0,0,NA,NA,0,0
3,Angola,AGO,AO,Uige,2205,15.88025,-6.83502,2014,30,1,0.033333333,30,14,0.466666667,30,2,0.066666667,30,0,0,0.489447939
4,Angola,AGO,AO,Uige,2205,15.17033,-7.28615,2014,30,0,0,30,0,0,30,0,0,NA,NA,0,0
5,Angola,AGO,AO,Uige,2205,15.77557,-7.9243,2014,24,0,0,24,0,0,24,0,0,NA,NA,0,0
6,Angola,AGO,AO,Uige,2205,14.99531,-7.04815,2014,30,0,0,30,27,0.9,30,5,0.166666667,30,0,0,0.864779874
7,Angola,AGO,AO,Uige,2205,15.27819,-7.5677,2014,30,0,0,30,0,0,30,0,0,NA,NA,0,0
8,Angola,AGO,AO,Uige,2205,14.7722,-7.15951,2014,30,0,0,30,0,0,30,0,0,NA,NA,0,0
9,Angola,AGO,AO,Milunga,2199,16.20152,-6.51017,2014,30,5,0.166666667,30,3,0.1,30,0,0,27,0,0,0.235849057
10,Angola,AGO,AO,Bungo,2193,15.18581,-7.39717,2014,30,2,0.066666667,30,16,0.533333333,30,6,0.2,30,0,0,0.614675052
11,Angola,AGO,AO,Puri,2202,15.06382,-7.59652,2014,30,0,0,30,19,0.633333333,30,0,0,30,0,0,0.633333333
12,Angola,AGO,AO,Maquela Do Zombo,2198,16.22888,-6.30317,2014,30,4,0.133333333,30,25,0.833333333,30,6,0.2,30,0,0,0.834381551
13,Angola,AGO,AO,Songo,2204,16.17455,-7.2165,2014,30,0,0,30,12,0.4,30,0,0,30,0,0,0.4
14,Angola,AGO,AO,Kitexe,2197,15.10093,-7.67832,2014,30,0,0,30,26,0.866666667,30,0,0,30,0,0,0.866666667
15,Angola,AGO,AO,Kangola,2195,15.28226,-7.61035,2014,30,17,0.566666667,30,2,0.066666667,30,0,0,30,1,0.033333333,0.561844864
16,Angola,AGO,AO,Songo,2204,15.81833,-8.02257,2014,30,9,0.3,30,14,0.466666667,29,4,0.137931034,30,0,0,0.639774452
17,Angola,AGO,AO,Kimbele,2196,14.85106,-7.3405,2014,30,11,0.366666667,30,23,0.766666667,30,1,0.033333333,30,0,0,0.808630328
18,Angola,AGO,AO,Huambo,2119,15.58626,-12.89756,2014,30,2,0.066666667,30,6,0.2,30,1,0.033333333,30,3,0.1,0.262473795
19,Angola,AGO,AO,Kaala,2120,15.58404,-12.14289,2014,30,0,0,30,5,0.166666667,30,0,0,29,2,0.068965517,0.166666667
20,Angola,AGO,AO,Huambo,2119,15.28188,-12.55275,2014,30,0,0,30,4,0.133333333,30,0,0,30,16,0.533333333,0.133333333
21,Angola,AGO,AO,Huambo,2119,15.46795,-12.73893,2014,30,0,0,30,0,0,30,0,0,30,0,0,0
22,Angola,AGO,AO,Huambo,2119,15.19321,-12.19323,2014,30,0,0,30,25,0.833333333,30,3,0.1,30,0,0,0.801886792
23,Angola,AGO,AO,Huambo,2119,15.31764,-12.86008,2014,30,0,0,30,15,0.5,30,0,0,30,1,0.033333333,0.5
24,Angola,AGO,AO,Ekunha,2118,15.82733,-11.82006,2014,30,0,0,30,0,0,30,2,0.066666667,30,0,0,0.066666667
25,Angola,AGO,AO,Kaala,2120,15.64705,-11.64814,2014,30,0,0,30,0,0,30,0,0,30,19,0.633333333,0.633333333
26,Angola,AGO,AO,Thicala-Thilohanga,2125,14.87459,-12.63828,2014,30,3,0.1,30,3,0.1,30,0,0,30,1,0.033333333,0.179245283
27,Angola,AGO,AO,Huambo,2119,16.10052,-13.10226,2014,30,0,0,30,21,0.7,30,0,0,30,1,0.033333333,0.7
28,Angola,AGO,AO,Huambo,2119,15.5454,-13.72928,2014,30,0,0,30,13,0.433333333,30,0,0,30,2,0.066666667,0.433333333
29,Angola,AGO,AO,Huambo,2119,15.72469,-12.75824,2014,30,0,0,30,3,0.1,30,1,0.033333333,30,1,0.033333333,0.122641509
30,Angola,AGO,AO,Huambo,2119,15.34589,-13.24365,2014,30,0,0,30,0,0,30,1,0.033333333,30,2,0.066666667,0.033333333
31,Angola,AGO,AO,Kaala,2120,15.34589,-13.24365,2014,30,0,0,30,3,0.1,30,0,0,30,26,0.866666667,0.1
32,Angola,AGO,AO,Huambo,2119,16.03932,-12.81102,2014,30,0,0,30,4,0.133333333,30,0,0,30,1,0.033333333,0.133333333
33,Angola,AGO,AO,Bailundo,2116,14.91783,-12.60596,2014,30,0,0,30,0,0,30,0,0,30,0,0,0
34,Angola,AGO,AO,Thicala-Thilohanga,2125,15.13616,-13.23267,2014,30,0,0,30,0,0,30,0,0,30,4,0.133333333,0.133333333
35,Angola,AGO,AO,Kachiungo,2121,14.84265,-12.70881,2014,30,0,0,30,3,0.1,30,0,0,30,1,0.033333333,0.1
36,Angola,AGO,AO,Bailundo,2116,15.19149,-12.89231,2014,30,0,0,30,0,0,30,1,0.033333333,30,0,0,0.033333333
37,Angola,AGO,AO,Chinjenje,2117,14.94266,-12.95442,2014,30,0,0,30,0,0,30,0,0,30,2,0.066666667,0.066666667
38,Angola,AGO,AO,Bailundo,2116,15.59652,-12.8296,2014,30,0,0,30,2,0.066666667,30,0,0,30,0,0,0.066666667
39,Angola,AGO,AO,Ukuma,2126,15.3309,-12.35655,2014,30,0,0,30,1,0.033333333,30,0,0,30,11,0.366666667,0.033333333
40,Angola,AGO,AO,Kachiungo,2121,15.38265,-12.18379,2014,30,0,0,30,1,0.033333333,30,0,0,30,1,0.033333333,0.033333333
41,Angola,AGO,AO,Kaala,2120,15.38269,-12.18383,2014,30,0,0,30,7,0.233333333,30,0,0,30,8,0.266666667,0.233333333
42,Angola,AGO,AO,Londuimbali,2122,15.3827,-12.18384,2014,30,0,0,30,1,0.033333333,30,0,0,30,0,0,0.033333333
43,Angola,AGO,AO,Ekunha,2118,15.54917,-12.229,2014,30,0,0,30,11,0.366666667,30,2,0.066666667,30,0,0,0.385744235
44,Angola,AGO,AO,Ukuma,2126,16.47806,-13.22699,2014,30,0,0,30,4,0.133333333,30,2,0.066666667,30,1,0.033333333,0.180293501
45,Angola,AGO,AO,Longonjo,2123,15.89128,-12.89109,2014,30,0,0,30,0,0,30,0,0,30,0,0,0
46,Angola,AGO,AO,Chinjenje,2117,15.32663,-12.58422,2014,30,0,0,30,0,0,30,2,0.066666667,30,2,0.066666667,0.066666667
47,Angola,AGO,AO,Ukuma,2126,15.22478,-12.1371,2014,30,0,0,30,1,0.033333333,30,2,0.066666667,30,6,0.2,0.092243187
48,Angola,AGO,AO,Longonjo,2123,15.16963,-13.23701,2014,30,0,0,30,1,0.033333333,30,0,0,30,0,0,0.033333333
49,Angola,AGO,AO,Longonjo,2123,15.61736,-12.17704,2014,30,0,0,30,1,0.033333333,30,0,0,30,3,0.1,0.033333333
50,Angola,AGO,AO,Londuimbali,2122,15.60983,-12.30593,2014,30,0,0,30,0,0,30,0,0,30,2,0.066666667,0.066666667
51,Angola,AGO,AO,Ekunha,2118,15.75174,-12.67803,2014,30,0,0,30,0,0,30,0,0,30,0,0,0
52,Angola,AGO,AO,Longonjo,2123,15.69541,-12.74454,2014,30,0,0,30,0,0,30,0,0,30,18,0.6,0.6
53,Angola,AGO,AO,Mungo,2124,16.08492,-12.42791,2014,30,0,0,30,0,0,30,1,0.033333333,30,0,0,0.033333333
54,Angola,AGO,AO,Bailundo,2116,14.81625,-12.83631,2014,30,0,0,30,1,0.033333333,30,0,0,30,1,0.033333333,0.033333333
55,Angola,AGO,AO,Bailundo,2116,15.97819,-12.16964,2014,30,0,0,30,1,0.033333333,30,0,0,30,2,0.066666667,0.033333333
56,Angola,AGO,AO,Huambo,2119,14.84236,-12.77193,2014,30,0,0,30,1,0.033333333,30,0,0,30,0,0,0.033333333
57,Angola,AGO,AO,Kaala,2120,16.28301,-11.93382,2014,30,0,0,30,0,0,30,0,0,30,7,0.233333333,0.233333333
58,Angola,AGO,AO,Kaala,2120,15.47868,-12.99249,2014,1,0,0,1,0,0,1,0,0,1,0,0,0
59,Angola,AGO,AO,Kachiungo,2121,15.40978,-11.83197,2014,30,0,0,30,1,0.033333333,30,0,0,30,2,0.066666667,0.033333333
60,Angola,AGO,AO,Thicala-Thilohanga,2125,15.96999,-12.4923,2014,30,0,0,30,1,0.033333333,30,0,0,30,0,0,0.033333333
61,Angola,AGO,AO,Kachiungo,2121,15.74392,-12.4624,2014,30,0,0,30,1,0.033333333,30,0,0,30,2,0.066666667,0.033333333
62,Angola,AGO,AO,Londuimbali,2122,16.06458,-11.9368,2014,30,0,0,30,0,0,30,0,0,30,1,0.033333333,0.033333333
63,Angola,AGO,AO,Kaala,2120,15.75725,-12.70419,2014,30,0,0,30,3,0.1,30,0,0,30,11,0.366666667,0.1
64,Angola,AGO,AO,Kaala,2120,14.90569,-12.62004,2014,30,0,0,30,0,0,25,0,0,30,0,0,0
